Zip,Latitude,Longitude
61744,40.73997,-88.8871
63334,39.30166,-91.18781
64855,37.29597,-94.48582
67574,38.22188,-99.38504
72663,35.93775,-92.32779
78620,30.21895,-98.12894
78638,29.65691,-97.79496
79014,35.91222,-100.29813
85364,32.70312,-114.65882
85542,33.29655,-110.30316
2124,42.28572,-71.07105
5343,43.09865,-72.80043
7757,40.31621,-74.01608
8109,39.95039,-75.05043
11782,40.73748,-73.08116
12118,42.91684,-73.72138
58505,46.8202,-100.78111
97624,42.74175,-121.70551
98296,47.84067,-122.10169
15754,40.55664,-79.15153
23024,37.9254,-77.77924
24656,37.17393,-82.1233
33469,26.98421,-80.10921
35651,34.46688,-87.48741
37877,36.15098,-83.40305
42035,36.90497,-88.84197
52588,40.86421,-92.17314
58703,48.33057,-101.31556
95364,38.21142,-119.81338
12787,41.79796,-74.8353
61928,39.451,-88.50411
68666,41.11091,-97.61556
75157,32.46227,-96.44684
75232,32.66095,-96.84018
88311,32.80751,-105.98864
89422,38.17367,-118.41484
10979,41.18272,-74.31501
17003,40.36394,-76.5649
26415,39.29706,-80.93771
27834,35.65856,-77.38395
28435,34.4076,-78.10562
29812,33.22683,-81.44135
728,18.00627,-66.6612
780,18.10416,-66.57175
60452,41.60768,-87.75529
60553,41.82791,-89.02682
62355,39.41022,-90.77649
66852,38.0667,-95.89356
66948,39.59746,-97.85281
66970,39.93914,-98.0362
68423,40.80269,-96.95214
71602,34.26709,-92.14304
75246,32.79292,-96.7733
75413,33.4414,-96.17912
75785,31.77994,-95.17381
81052,37.92617,-102.65974
31051,32.15581,-83.88845
36480,31.32707,-87.60794
38060,35.2091,-89.50332
47854,39.79856,-87.40244
49912,46.49436,-89.2028
53018,43.0471,-88.39209
54534,46.34892,-90.22852
55918,43.74081,-92.84647
56062,44.04739,-94.41483
56737,48.43414,-96.03504
98292,48.2234,-122.3073
91210,34.14452,-118.25645
98673,45.65212,-121.03609
15347,40.21742,-80.22683
15670,40.40695,-79.43008
23062,37.25759,-76.50404
26254,38.89437,-79.64762
26294,38.53145,-80.03429
27020,36.10084,-80.80798
28671,35.75273,-81.52787
28805,35.61362,-82.48211
29849,33.09685,-81.23312
31322,32.10966,-81.25388
32955,28.29642,-80.72525
33773,27.88207,-82.75725
33991,26.6247,-82.0216
36572,30.85842,-88.06046
38580,36.27813,-85.29194
39846,31.56189,-84.74662
40050,38.4459,-85.19007
49305,43.75075,-85.1497
31620,31.11841,-83.43765
33311,26.14412,-80.17331
36075,32.38458,-85.91114
37042,36.56905,-87.41699
42124,36.87052,-85.64393
42254,36.66083,-87.63741
44062,41.45764,-81.02602
44241,41.23941,-81.3472
45780,39.36636,-82.13108
47438,39.15935,-87.18853
49674,45.05225,-85.59331
49873,45.87947,-87.53794
51048,42.57519,-95.86175
53520,42.59967,-89.35857
98421,47.25917,-122.39953
98832,47.37195,-119.01776
59716,45.10267,-111.48685
2067,42.10811,-71.18143
3032,42.9906,-71.34379
4057,44.10162,-70.69888
11233,40.6783,-73.91995
13363,43.3273,-75.51383
13618,44.11925,-76.27578
14203,42.86381,-78.8658
44120,41.47357,-81.57931
46173,39.60273,-85.42902
47858,39.26386,-87.23117
48005,42.85024,-82.9231
48177,41.80396,-83.58091
53926,43.67075,-89.21169
56510,47.36034,-96.5254
59243,47.75213,-104.67241
61417,40.77418,-90.53832
64801,37.11012,-94.49639
67214,37.70719,-97.31785
67745,39.80853,-101.34629
68765,42.34268,-97.62229
73067,34.90313,-97.90822
73437,34.36189,-97.4156
75060,32.796,-96.95446
76266,33.36725,-97.21414
76374,33.35976,-98.73819
627,18.419,-66.86033
4786,46.79208,-68.17877
13317,42.85503,-74.58309
17240,40.15424,-77.58309
23960,37.31378,-78.56053
24557,36.96662,-79.30432
26201,39.00049,-80.20388
28464,34.77792,-78.01925
28634,35.97155,-80.75388
29643,34.51182,-83.00057
95382,37.5284,-120.85304
97436,43.64043,-123.59204
93260,35.81723,-118.66912
98602,45.86716,-121.26554
32922,28.37243,-80.74281
39183,32.45228,-90.80658
42206,36.8856,-86.72146
44601,40.91936,-81.13023
45849,41.01385,-84.45338
46106,39.51304,-86.20537
50542,42.77759,-93.94493
51645,40.88192,-95.4326
60604,41.87814,-87.62837
64158,39.23531,-94.48314
64779,38.09377,-94.40442
65013,38.27532,-91.74974
67335,37.27467,-95.53669
68733,42.28484,-96.72476
70512,30.41407,-91.92303
72845,35.36412,-93.37526
74062,36.04052,-96.8932
75784,31.8737,-94.97332
31565,31.06443,-81.64231
32206,30.35056,-81.63841
34661,28.6159,-82.24823
35967,34.40139,-85.69628
41091,38.91861,-84.74
41121,38.44573,-82.83392
43408,41.57185,-83.36346
44105,41.45064,-81.63024
44117,41.57149,-81.52679
47421,38.86267,-86.45106
56029,43.52648,-93.5242
58424,46.88852,-99.11094
90660,33.98882,-118.09063
92108,32.77389,-117.14247
98593,46.40794,-123.0055
99561,60.15137,-164.25198
